timestamp,session_id,total_games,games_won,games_lost,win_rate_percent,max_score,max_tile,total_moves,avg_moves_per_game,avg_ai_latency,avg_game_time,total_ai_suggestions,games_2,games_8,games_32,games_128,games_512,games_1024,games_2048,command_args
2025-09-02 22:02:20,20250902_220220_batch1,5,5,0,100.0,21020,2048,4858,971.6,0.07,68.19,4858,0,0,0,0,0,0,5,"batch=1, games_in_batch=5"
2025-09-02 22:03:35,20250902_220335_batch2,5,5,0,100.0,20800,2048,4844,968.8,0.074,71.41,4844,0,0,0,0,0,0,5,"batch=2, games_in_batch=5"
2025-09-02 22:04:47,20250902_220447_batch3,5,5,0,100.0,20244,2048,4741,948.2,0.069,65.39,4741,0,0,0,0,0,0,5,"batch=3, games_in_batch=5"
2025-09-02 22:05:57,20250902_220557_batch4,5,4,1,80.0,20644,2048,4756,951.2,0.068,64.98,4756,0,0,0,0,0,1,4,"batch=4, games_in_batch=5"
2025-09-02 22:07:05,20250902_220705_batch5,5,5,0,100.0,20240,2048,4749,949.8,0.067,64.13,4749,0,0,0,0,0,0,5,"batch=5, games_in_batch=5"
2025-09-02 22:08:13,20250902_220813_batch6,5,4,1,80.0,20568,2048,4295,859.0,0.069,59.06,4295,0,0,0,0,1,0,4,"batch=6, games_in_batch=5"
2025-09-02 22:09:22,20250902_220922_batch7,5,5,0,100.0,20228,2048,4733,946.6,0.068,64.28,4733,0,0,0,0,0,0,5,"batch=7, games_in_batch=5"
2025-09-02 22:10:35,20250902_221035_batch8,5,4,1,80.0,21064,2048,4947,989.4,0.067,66.6,4947,0,0,0,0,0,1,4,"batch=8, games_in_batch=5"
2025-09-02 22:11:45,20250902_221145_batch9,5,5,0,100.0,21016,2048,4856,971.2,0.065,63.1,4856,0,0,0,0,0,0,5,"batch=9, games_in_batch=5"
2025-09-02 22:12:56,20250902_221256_batch10,5,5,0,100.0,20556,2048,4750,950.0,0.07,66.1,4750,0,0,0,0,0,0,5,"batch=10, games_in_batch=5"
2025-09-02 22:14:06,20250902_221406_batch11,5,5,0,100.0,21088,2048,4837,967.4,0.068,65.73,4837,0,0,0,0,0,0,5,"batch=11, games_in_batch=5"
2025-09-02 22:15:16,20250902_221516_batch12,5,5,0,100.0,20520,2048,4763,952.6,0.069,65.42,4763,0,0,0,0,0,0,5,"batch=12, games_in_batch=5"
2025-09-02 22:16:27,20250902_221627_batch13,5,5,0,100.0,20236,2048,4738,947.6,0.07,65.93,4738,0,0,0,0,0,0,5,"batch=13, games_in_batch=5"
2025-09-02 22:17:35,20250902_221735_batch14,5,3,2,60.0,20628,2048,3773,754.6,0.071,53.5,3773,0,0,0,0,2,0,3,"batch=14, games_in_batch=5"
2025-09-02 22:18:43,20250902_221843_batch15,5,5,0,100.0,20200,2048,4717,943.4,0.067,63.02,4717,0,0,0,0,0,0,5,"batch=15, games_in_batch=5"
2025-09-02 22:19:55,20250902_221955_batch16,5,5,0,100.0,20912,2048,4789,957.8,0.068,65.1,4789,0,0,0,0,0,0,5,"batch=16, games_in_batch=5"
2025-09-02 22:21:05,20250902_222105_batch17,5,5,0,100.0,20668,2048,4737,947.4,0.068,64.82,4737,0,0,0,0,0,0,5,"batch=17, games_in_batch=5"
2025-09-02 22:22:13,20250902_222213_batch18,5,4,1,80.0,20228,2048,4476,895.2,0.069,61.68,4476,0,0,0,0,0,1,4,"batch=18, games_in_batch=5"
2025-09-02 22:23:26,20250902_222326_batch19,5,5,0,100.0,20688,2048,4828,965.6,0.069,66.29,4828,0,0,0,0,0,0,5,"batch=19, games_in_batch=5"
2025-09-02 22:24:42,20250902_222442_batch20,5,5,0,100.0,20300,2048,4730,946.0,0.071,67.53,4730,0,0,0,0,0,0,5,"batch=20, games_in_batch=5"
